Date;Kilde;Forfatter;NNPF_assosiert
søndag 13. januar 2019; https://www.aftenposten.no/amagasinet/i/qnagAg/de-skal-avverge-og-avdekke-drap-kidnappinger-og-mektige-bakmenn-slik-jobber-oslo-politiet-mot-de-tyngste-kriminelle ; author: Harald Stolt-Nielsen ; NNPF: Gjermund Strømve
onsdag 5. desember 2018; https://www.aftenposten.no/norge/i/7lzbX4/narkosak-fra-kjeller-alvorligere-enn-foerst-antatt ; author: og NTB ; NNPF: Camilla Ek Sørensen
tirsdag 4. desember 2018; https://www.aftenposten.no/norge/i/Xw0KW7/harnes-og-betew-frikjent-for-drapsforsoek-paa-onkel-skrue-naa-avgjoer-lagmannsretten-skyldspoersmaalet ; author: og NTB ; NNPF: Geir Evanger
onsdag 21. november 2018; https://www.aftenposten.no/norge/i/p68XvW/naer-dobbelt-saa-mange-narkotikasaker-blant-ungdommer-i-stavanger ; author: Cornelius MunkvikStavanger Aftenblad ; NNPF: Kathrine Sæland Rotseth
torsdag 15. november 2018; https://www.aftenposten.no/norge/i/ddEJdj/politiet-mener-at-flere-russebusser-har-foert-til-mer-russebraak-i-rogaland ; author: og NTB ; NNPF: Kathrine Sæland Rotseth
mandag 29. oktober 2018; https://www.aftenposten.no/amagasinet/i/oRbQaV/stiller-opp-paa-tv-for-aa-gi-oekt-kunnskap-om-den-usynlige-sykdommen ; author: Øyvind Nordli ; NNPF: Kristian Kjærnes
onsdag 10. oktober 2018; https://www.aftenposten.no/norge/i/dde5zX/halvparten-av-politiets-dark-room-gruppe-har-forsvunnet-siden-starten ; author: Ingrid Fredriksen ; NNPF: Hilde Reikrås
onsdag 10. oktober 2018; https://www.aftenposten.no/norge/i/dde5zX/halvparten-av-politiets-dark-room-gruppe-har-forsvunnet-siden-starten ; author: Ingrid Fredriksen ; NNPF: Ida Melbo Øystese
torsdag 27. september 2018; https://www.aftenposten.no/norge/i/G1LAEV/syklist-paakjoert-i-fotgjengerfelt-hentet-av-luftambulanse ; author: og NTB ; NNPF: Jon Terje Stäheli
søndag 16. september 2018; https://www.aftenposten.no/norge/i/7lOjE3/mann-slaatt-bevisstloes-i-oslo-politiet-fant-jernroer ; author: og NTB ; NNPF: Marita Aune
onsdag 12. september 2018; https://www.aftenposten.no/norge/i/vm73jB/varhaug-saken-flere-forsoekte-aa-hjelpe-siktede-foer-drapet ; author: Cornelius MunkvikStavanger Aftenblad ; NNPF: Sigve Espeland
fredag 24. august 2018; https://www.aftenposten.no/norge/i/gPengL/her-paagripes-hasjsmuglerne-gjengmiljoeene-i-oslo-er-blitt-et-nasjonalt-problem-sier-kripos ; author: Harald Stolt-NielsenJournalist ; NNPF: Eivind Borge
tirsdag 14. august 2018; https://www.aftenposten.no/norge/i/m6jEag/volden-paa-ios-politiet-vil-moete-russen-i-oppegaard-og-baerum-ved-skolestart ; author: Frøydis BraathenJournalist ; NNPF: Andreas Bjørnteig
søndag 5. august 2018; https://www.aftenposten.no/norge/i/XwQ4xW/mann-omkom-da-isblokk-loesnet-fra-nigardsbreen ; author: Frode Sætran ; NNPF: Helge Blindheim
søndag 5. august 2018; https://www.aftenposten.no/meninger/debatt/i/KvAj36/kort-sagt-mandag-6-august ; author: Aftenpostens debattredaksjon ; NNPF: Nina Næss
søndag 15. juli 2018; https://www.aftenposten.no/norge/i/J1yA47/paa-en-droey-time-midt-paa-dagen-tok-tre-politimenn-seks-selgere-og-kjoepere-av-hasj-paa-vaterland ; author: Wasim RiazJournalist ; NNPF: Jan Erik Bresil
mandag 9. juli 2018; https://www.aftenposten.no/norge/i/OnA55b/professor-reagerer-paa-politimetoder-i-jakten-paa-festival-cannabis-dette-har-de-neppe-lov-til ; author: Wasim RiazJournalist ; NNPF: Ketil Thue
fredag 29. juni 2018; https://www.aftenposten.no/norge/i/OnAXQV/kripos-betydelig-innfoerselsaare-for-narkotika-avdekket-knyttet-til-gjengmiljoe-i-oslo ; author: Hans O. TorgersenJournalist ; NNPF: Eivind Borge
fredag 29. juni 2018; https://www.aftenposten.no/norge/i/m64xXO/doed-person-funnet-paa-karmoey ; author: og NTB ; NNPF: Lene Steinsnes Eide
torsdag 10. mai 2018; https://www.aftenposten.no/norge/i/e14E2Q/russebuss-med-37-for-mange-om-bord-enormt-skadepotensial-sier-up-sjef ; author: Ove Heimsvik ; NNPF: Terje Oksnes
søndag 6. mai 2018; https://www.aftenposten.no/norge/i/xREA2G/fire-russ-til-sykehus-etter-overdose-av-ghb ; author: og NTB ; NNPF: Brit Randulff
lørdag 5. mai 2018; https://www.aftenposten.no/norge/i/yvr1Rr/politiet-flere-bortvisninger-fra-stavanger-og-haugesund-enn-fra-kongeparken ; author: og NTB ; NNPF: Brit Randulff
lørdag 5. mai 2018; https://www.aftenposten.no/norge/i/yvr1Rr/politiet-flere-bortvisninger-fra-stavanger-og-haugesund-enn-fra-kongeparken ; author: og NTB ; NNPF: Dyre Antonsen
lørdag 28. april 2018; https://www.aftenposten.no/norge/i/L0gKA9/tenaaringsjenter-avtaler-slaasskamper-seg-imellom ; author: og NTB ; NNPF: Line Granås
torsdag 22. mars 2018; https://www.aftenposten.no/norge/i/yvKLgA/greenpeace-bordet-norsk-borerigg ; author: og NTB ; NNPF: Kurt Inge Hordvik
torsdag 8. februar 2018; https://www.aftenposten.no/karriere/i/8mGrBw/margrete-wiede-aasland-snakket-med-overgripere-i-elleve-aar-men-en-sak-fikk-det-til-aa-bikke-over ; author: Elise Rønnevig Andersen ; NNPF: Hilde Reikrås
lørdag 3. februar 2018; https://www.aftenposten.no/norge/i/gP60QL/vi-ser-menn-som-jakter-paa-fulle-unge-kvinner ; author: Marianne Nilsen ; NNPF: Bjørn Allan Bull Wingaard
søndag 7. januar 2018; https://www.aftenposten.no/norge/i/xR31BQ/voldsdoemt-maa-gaa-med-elektronisk-fotlenke-nesten-hele-oestfold-blir-forbudt-omraade ; author: Håkon Letvik ; NNPF: Hans Christian Dragvoll
